Name:             Description:
spangj            "Super Pang (Japan 901023)"
sparkman          "Spark Man (v2.0, set 1)"
sparkmana         "Spark Man (v2.0, set 2)"
sparkz            "Sparkz (prototype)"
spartanx          "Spartan X (Japan)"
spartanxtec       "Spartan X (Tecfri hardware bootleg)"
spatter           "Spatter (315-5xxx)"
spattera          "Spatter (315-5099)"
spbactn           "Super Pinball Action (US)"
spbactnj          "Super Pinball Action (Japan)"
spc700            "Sony SPC700"
spcdrag           "Space Dragon (Moon Cresta bootleg, set 1)"
spcdraga          "Space Dragon (Moon Cresta bootleg, set 2)"
spceking          "Space King"
spcenctr          "Space Encounters"
spcewars          "Space War (Sanritsu)"
spcforc2          "Space Force (set 2)"
spcforce          "Space Force (set 1)"
spcinv95          "Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5O 1995/06/14)"
spcinv95u         "Space Invaders '95: The Attack Of Lunar Loonies (Ver 2.5A 1995/06/14)"
spcinvdj          "Space Invaders DX (Ver 2.6J 1994/09/14) (F3 Version)"
spcking2          "Space King 2"
spclords          "Space Lords (rev C)"
spclordsa         "Space Lords (rev A)"
spclordsb         "Space Lords (rev B)"
spclordsg         "Space Lords (rev A, German)"
spcpostn          "Space Position (Japan)"
spcrocks          "Space Rocks (Spanish clone of Asteroids)"
spctbird          "Space Thunderbird"
spdball           "Speed Ball - Contest at Neonworld (prototype)"
spdcoin           "Speed Coin (prototype)"
spdodgeb          "Super Dodge Ball (US)"
speaker           "Speaker"
speaker_sound     "Filtered 1-bit DAC"
speakres          "Speak & Rescue"
speakresb         "Speak & Rescue (bootleg)"
spec2k            "Spectrum 2000 (vertical)"
spec2kh           "Spectrum 2000 (horizontal, buggy) (Europe)"
spectar           "Spectar (revision 3)"
spectar1          "Spectar (revision 1?)"
speedatk          "Speed Attack! (Japan)"
speedbal          "Speed Ball"
speeddrp          "Speed Drop (Ver. 1.06)"
speedrcr          "Speed Racer"
speedspn          "Speed Spin"
speedup           "Speed Up (Version 1.20)"
speedup10         "Speed Up (Version 1.00)"
speglsht          "Super Eagle Shot"
spelunk2          "Spelunker II - 23 no Kagi (Japan)"
spelunkr          "Spelunker"
spelunkrj         "Spelunker (Japan)"
spf2t             "Super Puzzle Fighter II Turbo (Euro 960529)"
spf2ta            "Super Puzzle Fighter II Turbo (Asia 960529)"
spf2td            "Super Puzzle Fighter II Turbo (USA 960620 Phoenix Edition) (bootleg)"
spf2th            "Super Puzzle Fighter II Turbo (Hispanic 960531)"
spf2tu            "Super Puzzle Fighter II Turbo (USA 960620)"
spf2xj            "Super Puzzle Fighter II X (Japan 960531)"
spf2xjd           "Super Puzzle Fighter II X (Japan 960531 Phoenix Edition) (bootleg)"
spider            "Spider"
spiders           "Spiders (set 1)"
spiders2          "Spiders (set 2)"
spiders3          "Spiders (set 3)"
spidman           "Spider-Man: The Videogame (World)"
spidmanj          "Spider-Man: The Videogame (Japan)"
spidmanu          "Spider-Man: The Videogame (US)"
spiero            "Super Pierrot (Japan)"
spiker            "Spiker"
spiker2           "Spiker (5/5/86)"
spiker3           "Spiker (6/9/86)"
spinkick          "Hec's Spinkick"
spinlbrk          "Spinal Breakers (World)"
spinlbrkj         "Spinal Breakers (Japan)"
spinlbrku         "Spinal Breakers (US)"
spinmast          "Spin Master / Miracle Adventure"
spinner           "Spinner"
spitboss          "Super Pit Boss (9221-02A)"
spk115it          "Super Poker (v115IT)"
spk116it          "Super Poker (v116IT)"
splash            "Splash! (Ver. 1.2 World)"
splash10          "Splash! (Ver. 1.0 World)"
splat             "Splat!"
splatter          "Splatter House (World, new version (SH3))"
splatter2         "Splatter House (World, old version (SH2))"
splatterj         "Splatter House (Japan, SH1)"
splndrbt          "Splendor Blast (set 1)"
spnchout          "Super Punch-Out!! (Rev B)"
spnchouta         "Super Punch-Out!! (Rev A)"
spnchoutj         "Super Punch-Out!! (Japan)"
spooky            "Spooky Night 2nd Edition (Version 2.0.4)"
spookyo           "Spooky Night (Version 1.0.1)"
spool3            "Super Pool III (English)"
spool3i           "Super Pool III (I-Vics)"
spool99           "Super Pool 99 (Version 0.36)"
spool99a          "Super Pool 99 (Version 0.33)"
spool99b          "Super Pool 99 (Version 0.31)"
spool99c          "Super Pool 99 (Version 0.26)"
sprcros2          "Super Cross II (Japan, set 1)"
sprcros2a         "Super Cross II (Japan, set 2)"
sprglbpg          "Super Glob (Pac-Man hardware) (German bootleg)"
sprglobp          "Super Glob (Pac-Man hardware)"
springbd          "Springboard (bootleg of Circus)"
springer          "Springer"
sprint1           "Sprint 1"
sprint2           "Sprint 2 (set 1)"
sprint2a          "Sprint 2 (set 2)"
sprint4           "Sprint 4 (set 1)"
sprint4a          "Sprint 4 (set 2)"
sprint8           "Sprint 8"
sprint8a          "Sprint 8 (play tag & chase)"
sprtauth          "Sports Authority"
sprtmtch          "Sports Match"
spu               "SPU"
spuzbobl          "Super Puzzle Bobble (V2.05O 1999/2/24 18:00)"
spuzboblj         "Super Puzzle Bobble (V2.04J 1999/2/27 02:10)"
spy               "S.P.Y. - Special Project Y (World ver. N)"
spyhunt           "Spy Hunter"
spyhunt2          "Spy Hunter II (rev 2)"
spyhunt2a         "Spy Hunter II (rev 1)"
spyhuntp          "Spy Hunter (Playtronic license)"
spyu              "S.P.Y. - Special Project Y (US ver. M)"
sqbert            "Faster, Harder, More Challenging Q*bert (prototype)"
sqix              "Super Qix (World/Japan, V1.2)"
sqixb1            "Super Qix (bootleg of V1.0, 8031 MCU)"
sqixb2            "Super Qix (bootleg, No MCU)"
sqixr1            "Super Qix (World/Japan, V1.1)"
sqixu             "Super Qix (US)"
squaitsa          "Squash (Itisa)"
squash            "Squash (Ver. 1.0)"
sraider           "Space Raider"
sranger           "Super Ranger (v2.0)"
srangerb          "Super Ranger (older, bootleg)"
srangern          "Super Ranger (older, NOVA license)"
srangero          "Super Ranger (older)"
srangerw          "Super Ranger (older, WDK license)"
srdarwin          "Super Real Darwin (World)"
srdarwinj         "Super Real Darwin (Japan)"
srdmissn          "S.R.D. Mission"
srmdb             "Sunset Riders (bootleg of Megadrive version)"
srmp1             "Super Real Mahjong Part 1 (Japan)"
srmp2             "Super Real Mahjong Part 2 (Japan)"
srmp3             "Super Real Mahjong Part 3 (Japan)"
srmp4             "Super Real Mahjong PIV (Japan)"
srmp4o            "Super Real Mahjong PIV (Japan, older set)"
srmp5             "Super Real Mahjong P5"
srmp6             "Super Real Mahjong P6 (Japan)"
srmp7             "Super Real Mahjong P7 (Japan)"
srmvs             "Super Real Mahjong VS"
srumbler          "The Speed Rumbler (set 1)"
srumbler2         "The Speed Rumbler (set 2)"
srumbler3         "The Speed Rumbler (set 3)"
sryudens          "Mahjong Seiryu Densetsu (Japan, NM502)"
ssanchan          "Sanrin San Chan (Japan, 315-5xxx)"
sscandal          "Seishun Scandal (315-5132, Japan)"
ssf2              "Super Street Fighter II: The New Challengers (World 931005)"
ssf2a             "Super Street Fighter II: The New Challengers (Asia 931005)"
ssf2ar1           "Super Street Fighter II: The New Challengers (Asia 930914)"
ssf2h             "Super Street Fighter II: The New Challengers (Hispanic 930911)"
ssf2j             "Super Street Fighter II: The New Challengers (Japan 931005)"
ssf2jr1           "Super Street Fighter II: The New Challengers (Japan 930911)"
ssf2jr2           "Super Street Fighter II: The New Challengers (Japan 930910)"
ssf2mdb           "Super Street Fighter II - The New Challengers (bootleg of Japanese MegaDrive version)"
ssf2r1            "Super Street Fighter II: The New Challengers (World 930911)"
ssf2t             "Super Street Fighter II Turbo (World 940223)"
ssf2ta            "Super Street Fighter II Turbo (Asia 940223)"
ssf2tad           "Super Street Fighter II Turbo (Asia 940223 Phoenix Edition) (bootleg)"
ssf2tb            "Super Street Fighter II: The Tournament Battle (World 931119)"
ssf2tbd           "Super Street Fighter II: The Tournament Battle (World 931119 Phoenix Edition) (bootleg)"
ssf2tbh           "Super Street Fighter II: The Tournament Battle (Hispanic 931005)"
ssf2tbj           "Super Street Fighter II: The Tournament Battle (Japan 931005)"
ssf2tbr1          "Super Street Fighter II: The Tournament Battle (World 930911)"
ssf2th            "Super Street Fighter II Turbo (Hispanic 940223)"
ssf2tu            "Super Street Fighter II Turbo (USA 940323)"
ssf2tur1          "Super Street Fighter II Turbo (USA 940223)"
ssf2u             "Super Street Fighter II: The New Challengers (USA 930911)"
ssf2ud            "Super Street Fighter II: The New Challengers (USA 930911 Phoenix Edition) (bootleg)"
ssf2xj            "Super Street Fighter II X: Grand Master Challenge (Japan 940311)"
ssf2xjd           "Super Street Fighter II X: Grand Master Challenge (Japan 940223 Phoenix Edition) (bootleg)"
ssf2xjr           "Super Street Fighter II X: Grand Master Challenge (Japan 940223 rent version)"
sshangha          "Super Shanghai Dragon's Eye (World)"
sshanghab         "Super Shanghai Dragon's Eye (World, bootleg)"
sshooter          "Sharpshooter (Rev 1.9)"
sshooter11        "Sharpshooter (Rev 1.1)"
sshooter12        "Sharpshooter (Rev 1.2)"
sshooter17        "Sharpshooter (Rev 1.7)"
ssi               "Super Space Invaders '91 (World, Rev 1)"
ssia              "Super Space Invaders '91 (World)"
ssideki           "Super Sidekicks / Tokuten Ou"
ssideki2          "Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - Real Fight Football (NGM-061 ~ NGH-061)"
ssideki3          "Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - Eikou e no Michi"
ssideki4          "The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero"
ssipkr24          "SSI Poker (v2.4)"
ssipkr30          "SSI Poker (v3.0)"
ssipkr40          "SSI Poker (v4.0)"
sslam             "Super Slam (set 1)"
sslama            "Super Slam (set 2)"
sslamb            "Super Slam (set 3)"
ssmissin          "S.S. Mission"
ssoldier          "Superior Soldiers (US)"
ssozumo           "Syusse Oozumou (Japan)"
sspiritj          "Scramble Spirits (Japan, Floppy DS3-5000-02-REV-A Based)"
sspirits          "Scramble Spirits (World, Floppy Based)"
ssprint           "Super Sprint (rev 4)"
ssprint1          "Super Sprint (rev 1)"
ssprint3          "Super Sprint (rev 3)"
ssprintf          "Super Sprint (French)"
ssprintg          "Super Sprint (German, rev 2)"
ssprintg1         "Super Sprint (German, rev 1)"
ssprints          "Super Sprint (Spanish)"
ssriders          "Sunset Riders (4 Players ver EAC)"
ssridersabd       "Sunset Riders (2 Players ver ABD)"
ssridersadd       "Sunset Riders (4 Players ver ADD)"
ssriderseaa       "Sunset Riders (4 Players ver EAA)"
ssridersebc       "Sunset Riders (2 Players ver EBC)"
ssridersebd       "Sunset Riders (2 Players ver EBD)"
ssridersjac       "Sunset Riders (4 Players ver JAC)"
ssridersjad       "Sunset Riders (4 Players ver JAD)"
ssridersjbd       "Sunset Riders (2 Players ver JBD)"
ssridersuab       "Sunset Riders (4 Players ver UAB)"
ssridersuac       "Sunset Riders (4 Players ver UAC)"
ssridersubc       "Sunset Riders (2 Players ver UBC)"
ssridersuda       "Sunset Riders (4 Players ver UDA)"
sss               "Steep Slope Sliders (JUET 981110 V1.000)"
sstar97           "Super Star 97 / Ming Xing 97 (version V153B)"
sstarbtl          "Super Star Battle"
sstarcrs          "Super Star Crest"
sstriker          "Sorcer Striker"
sstrikera         "Sorcer Striker (set 2)"
st0016_audio      "ST0016 (Audio)"
st0016_cpu        "ST0016"
st0020            "Seta ST0020 Sprites"
stadhero          "Stadium Hero (Japan)"
stadhr96          "Stadium Hero '96 (Europe, EAJ)"
stadhr96j         "Stadium Hero '96 (Japan, EAD)"
stadhr96u         "Stadium Hero '96 (USA, EAH)"
stagger1          "Stagger I (Japan)"
stakwin           "Stakes Winner / Stakes Winner - GI Kinzen  Seiha e no Michi"
stakwin2          "Stakes Winner 2"
star100           "Ming Xing 100 (Star 100)"
starblad          "Starblade (ST2, World)"
starbladj         "Starblade (ST1, Japan)"
starcas           "Star Castle (version 3)"
starcas1          "Star Castle (older)"
starcase          "Star Castle (Mottoeis)"
starcasp          "Star Castle (prototype)"
starcrus          "Star Cruiser"
starfght          "Star Fighter"
starfgmc          "Starfighter (Moon Cresta bootleg)"
starfigh          "Star Fighter (v1)"
starfir2          "Star Fire 2"
starfire          "Star Fire (set 1)"
starfirea         "Star Fire (set 2)"
starforc          "Star Force"
starforca         "Star Force (encrypted, set 2)"
starforcb         "Star Force (encrypted, bootleg)"
starforce         "Star Force (encrypted, set 1)"
stargate          "Stargate"
starglad          "Star Gladiator Episode I: Final Crusade (USA 960627)"
stargladj         "Star Gladiator Episode I: Final Crusade (Japan 960627)"
stargld2          "Star Gladiator 2: Nightmare of Bilstein (Japan 980316)"
stargrds          "Star Guards"
starhawk          "Star Hawk"
starjack          "Star Jacker (Sega)"
starjacks         "Star Jacker (Stern Electronics)"
starlstr          "Vs. Star Luster"
starseek          "Doki Doki Idol Star Seeker (GDL-0005)"
starshp1          "Starship 1"
starshpp          "Starship 1 (prototype?)"
starsldr          "Star Soldier: Vanishing Earth"
starswep          "Star Sweep (World, STP2/VER.A)"
startrek          "Star Trek"
startrkd          "Star Trek (Defender bootleg)"
startrks          "Star Trek (Head On hardware)"
starw             "Star Wars (bootleg of Galaxy Wars, set 1)"
starw1            "Star Wars (bootleg of Galaxy Wars, set 2)"
starwarr          "Star Warrior"
starwars          "Star Wars (set 1)"
starwars1         "Star Wars (set 2)"
starwarso         "Star Wars (set 3)"
statriv2          "Triv Two"
statriv2v         "Triv Two (Vertical)"
statriv4          "Triv Four"
statusbj          "Status Black Jack (V1.0c)"
stbsub            "Treasure Bonus (Subsino, v1.6)"
stdragon          "Saint Dragon (set 1)"
stdragona         "Saint Dragon (set 2)"
stdragonb         "Saint Dragon (bootleg)"
stealsee          "Steal See"
steeltal          "Steel Talons (rev 2)"
steeltal1         "Steel Talons (rev 1)"
steeltalg         "Steel Talons (German, rev 2)"
steelwkr          "Steel Worker"
stellcas          "Stellar Castle (Elettronolo)"
stepper           "Stepper Motor"
stera             "Steraranger (Moon Cresta bootleg)"
stfight           "Street Fight (Germany)"
stfighta          "Street Fight (bootleg?)"
stfightgb         "Street Fight (Germany - Benelux)"
stg               "Strike Gunner S.T.G"
stinger           "Stinger"
stinger2          "Stinger (prototype?)"
stkclmns          "Stack Columns (World)"
stkclmnsj         "Stack Columns (Japan)"
stlforce          "Steel Force"
stmblade          "Storm Blade (US)"
stmbladej         "Storm Blade (Japan)"
stocker           "Stocker (3/19/85)"
stoffy            "Super Toffy"
stoffyu           "Super Toffy (Unico license)"
stompin           "Stompin' (4/4/86)"
stoneage          "Stoneage (bootleg of Caveman Ninja)"
stonebal          "Stone Ball (4 Players, v1-20 13/12/1994)"
stonebal2         "Stone Ball (2 Players, v1-20 7/11/1994)"
storming          "Storming Party / Riku Kai Kuu Saizensen"
strahl            "Koutetsu Yousai Strahl (World)"
strahla           "Koutetsu Yousai Strahl (Japan set 2)"
stratab           "Strata Bowling (V3)"
stratab1          "Strata Bowling (V1)"
stratgys          "Strategy X (Stern Electronics)"
stratgyx          "Strategy X"
stratof           "Raiga - Strato Fighter (US)"
stratvox          "Stratovox (set 1)"
stratvoxb         "Stratovox (bootleg)"
streakng          "Streaking (set 1)"
streaknga         "Streaking (set 2)"
streetsm          "Street Smart (US version 2)"
streetsm1         "Street Smart (US version 1)"
streetsmj         "Street Smart (Japan version 1)"
streetsmw         "Street Smart (World version 1)"
strfbomb          "Strafe Bomb (bootleg of Scramble)"
strhoop           "Street Hoop / Street Slam / Dunk Dream (DEM-004 ~ DEH-004)"
strider           "Strider (USA, B-Board 89624B-2)"
striderj          "Strider Hiryu (Japan)"
striderjr         "Strider Hiryu (Japan Resale Ver.)"
striderua         "Strider (USA, B-Board 89624B-3)"
strideruc         "Strider (USA, B-Board 90629B-3, buggy Street Fighter II conversion)"
strkfgtr          "Strike Fighter (World)"
strkfgtrj         "Strike Fighter (Japan)"
strkforc          "Strike Force (rev 1 02/25/91)"
strkzone          "Strike Zone Baseball"
strnskil          "Strength & Skill"
strongx           "Strong X"
strtdriv          "Street Drivin' (prototype)"
strtheat          "Street Heat"
stunrun           "S.T.U.N. Runner (rev 6)"
stunrun0          "S.T.U.N. Runner (rev 0)"
stunrun2          "S.T.U.N. Runner (rev 2)"
stunrun2e         "S.T.U.N. Runner (rev 2, Europe)"
stunrun3          "S.T.U.N. Runner (rev 3)"
stunrun3e         "S.T.U.N. Runner (rev 3, Europe)"
stunrun4          "S.T.U.N. Runner (rev 4)"
stunrun5          "S.T.U.N. Runner (rev 5)"
stunrune          "S.T.U.N. Runner (rev 5, Europe)"
stunrunj          "S.T.U.N. Runner (rev 7, Japan)"
stunrunp          "S.T.U.N. Runner (upright prototype)"
stuntair          "Stunt Air"
stvbios           "ST-V Bios"
sub               "Submarine (Sigma)"
subhunt           "Sub Hunter (Gremlin / Taito)"
subroc3d          "Subroc-3D"
subs              "Subs"
sucasino          "Super Casino"
suchie3           "Idol Janshi Suchie-Pai 3 (Japan)"
suchipi           "Idol Janshi Suchie-Pai Special (Japan)"
suhosong          "Su Ho Seong"
suikoenb          "Suiko Enbu / Outlaws of the Lost Dynasty (JUETL 950314 V2.001)"
sunaq             "SunA Quiz 6000 Academy (940620-6)"
sundance          "Sundance"
supbtime          "Super Burger Time (World, set 1)"
supbtimea         "Super Burger Time (World, set 2)"
supbtimej         "Super Burger Time (Japan)"
supdrapo          "Super Draw Poker (set 1)"
supdrapoa         "Super Draw Poker (set 2)"
supdrapob         "Super Draw Poker (bootleg)"
supduck           "Super Duck"
super21           "Super Twenty One"
superabc          "Super ABC (Pac-Man multigame kit, Sep. 03 1999)"
superabco         "Super ABC (Pac-Man multigame kit, Mar. 08 1999)"
superbar          "Super Bar"
superbik          "Superbike"
superbug          "Super Bug"
superbwl          "Super Bowl (Version 16.03B)"
superchs          "Super Chase - Criminal Termination (World)"
superchsj         "Super Chase - Criminal Termination (Japan)"
superchsp         "Super Chase - Criminal Termination (1992/10/26 20:24:29 CHASE 3 VER 1.1, prototype)"
superchsu         "Super Chase - Criminal Termination (US)"
superdbl          "Super Double (French)"
superg            "Super Galaxians (galaxiana hack)"
supergm3          "Super Game III"
supergs           "Super Galaxians (Silver Systems)"
superinv          "Super Invaders (bootleg set 1)"
superman          "Superman (World)"
supermanj         "Superman (Japan)"
supermanu         "Superman (US)"
superpac          "Super Pac-Man"
superpacm         "Super Pac-Man (Midway)"
superspy          "The Super Spy (NGM-011 ~ NGH-011)"
superten          "Super Ten V8.3"
supertnk          "Super Tank"
supertr2          "Super Triv II"
supertr3          "Super Triv III"
superx            "Super-X (NTC)"
superxm           "Super-X (Mitchell)"
suplup            "Super Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 4.0 / 990518)"
supmodel          "Super Model"
suprball          "Super Ball (Version 1.3)"
suprglob          "Super Glob"
suprgolf          "Super Crowns Golf (World)"
suprheli          "Super Heli (Super Cobra bootleg)"
suprleag          "Super League (FD1094 317-0045)"
suprloco          "Super Locomotive (Rev.A)"
suprlocoo         "Super Locomotive"
suprmatk          "Super Missile Attack (for rev 1)"
suprmatkd         "Super Missile Attack (not encrypted)"
suprmous          "Super Mouse"
suprmrio          "Vs. Super Mario Bros. (set SM4-4 E)"
suprmrioa         "Vs. Super Mario Bros. (set ?, harder)"
suprpokr          "Super Poker (Version 10.19S)"
suprpokra         "Super Poker (Version 10.15S)"
suprpokrb         "Super Poker (Version 10.10)"
suprridr          "Super Rider"
suprslam          "From TV Animation Slam Dunk - Super Slams"
suprtrio          "Super Trio"
supxevs           "Vs. Super Xevious"
suratk            "Surprise Attack (World ver. K)"
suratka           "Surprise Attack (Asia ver. L)"
suratkj           "Surprise Attack (Japan ver. M)"
sureshot          "Sure Shot"
surfplnt          "Surf Planet (Version 4.1)"
surfplnt40        "Surf Planet (Version 4.0)"
survarts          "Survival Arts (World)"
survartsj         "Survival Arts (Japan)"
survartsu         "Survival Arts (USA)"
survival          "Survival"
sushibar          "Sushi Bar"
sushimar          "Itazura Daisuki! Sushimaru Kun"
susume            "Susume! Taisen Puzzle-Dama (GV027 Japan 1.20)"
sutapper          "Tapper (Suntory)"
suzuk8h2          "Suzuka 8 Hours 2 (World, Rev B)"
suzuk8h2j         "Suzuka 8 Hours 2 (Japan, Rev B)"
suzuka8h          "Suzuka 8 Hours (World, Rev C)"
suzuka8hj         "Suzuka 8 Hours (Japan, Rev B)"
suzume            "Watashiha Suzumechan (Japan)"
svc               "SNK vs. Capcom - SVC Chaos (NGM-2690 ~ NGH-2690)"
svcboot           "SNK vs. Capcom - SVC Chaos (bootleg)"
svcpcb            "SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 1)"
svcpcba           "SNK vs. Capcom - SVC Chaos (JAMMA PCB, set 2)"
svcplus           "SNK vs. Capcom - SVC Chaos Plus (bootleg set 1)"
svcplusa          "SNK vs. Capcom - SVC Chaos Plus (bootleg set 2)"
svcsplus          "SNK vs. Capcom - SVC Chaos Super Plus (bootleg)"
svf               "Super Visual Football: European Sega Cup (Rev A)"
svg               "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V200) (ARM label V200, ROM 10/11/05 S.V.G V201)"
svgpcb            "S.V.G. - Spectral vs Generation / Sheng Mo Shiji (M68k label V100JP) (ARM label V100JP, ROM 05/12/05 S.V.G V100) (Japan, JAMMA PCB)"
svolley           "Super Volleyball (Japan)"
svolleyk          "Super Volleyball (Korea)"
svolleyu          "Super Volleyball (US)"
svolly91          "Super Volley '91 (Japan)"
svs               "Super Visual Soccer: Sega Cup (US)"
swarm             "Swarm (bootleg?)"
swat              "SWAT (315-5048)"
swatpolc          "SWAT Police"
swcourt           "Super World Court (World)"
swcourtj          "Super World Court (Japan)"
sweetl            "Sweet Life (041220 World)"
sweetl_2          "Sweet Life (070412 Russia)"
sweetl2           "Sweet Life 2 (071217 Russia)"
sweetl2_2         "Sweet Life 2 (080320 World)"
sweetl2_2a        "Sweet Life 2 (bootleg, 080320, banking address hack set 1)"
sweetl2_2b        "Sweet Life 2 (bootleg, 080320, banking address hack set 2)"
sweetl2_2c        "Sweet Life 2 (bootleg, 080320, VIDEO GAME-1 MD01)"
sweetl2_2d        "Sweet Life 2 (bootleg, 080320, LOTTOGAME (I))"
sweetl2_3         "Sweet Life 2 (090525 Lottery)"
sweetl2_4         "Sweet Life 2 (090812 Entertainment)"
sweetla           "Sweet Life (bootleg, 041220, backdoor)"
sweetlb           "Sweet Life (bootleg, 041220, banking address hack, changed version text)"
swimmer           "Swimmer (set 1)"
swimmera          "Swimmer (set 2)"
swimmerb          "Swimmer (set 3)"
sws               "Super World Stadium (Japan)"
sws92             "Super World Stadium '92 (Japan)"
sws92g            "Super World Stadium '92 Gekitouban (Japan)"
sws93             "Super World Stadium '93 (Japan)"
sws95             "Super World Stadium '95 (Japan)"
sws96             "Super World Stadium '96 (Japan)"
sws97             "Super World Stadium '97 (Japan)"
sws98             "Super World Stadium '98 (Japan, SS81/VER.A)"
sws99             "Super World Stadium '99 (Japan, SS91/VER.A3)"
swtht2nz          "Sweethearts II (1VXFC5461, New Zealand)"
sxevious          "Super Xevious"
sxeviousj         "Super Xevious (Japan)"
sxyreac2          "Pachinko Sexy Reaction 2 (Japan)"
sxyreact          "Pachinko Sexy Reaction (Japan)"
sys573            "System 573 BIOS"
syvalion          "Syvalion (Japan)"
syvalionp         "Syvalion (World, prototype)"
szaxxon           "Super Zaxxon (315-5013)"
t11               "DEC T11"
t5182             "T5182 MCU"
tacscan           "Tac/Scan"
tactcian          "Tactician (set 1)"
tactcian2         "Tactician (set 2)"
tagteam           "Tag Team Wrestling"
tahjong           "Tahjong Yakitori (ver. 2-1)"
tail2nos          "Tail to Nose - Great Championship"
tailg             "Tailgunner"
taito_en          "Taito Ensoniq Sound System"
taito_zoom        "Taito Zoom Sound System"
taito8741_4pack   "I8741 MCU Simulation (Taito 4Pack)"
taitofx1          "Taito FX1"
taitogn           "Taito GNET"
taiwanmb          "Taiwan Mahjong [BET] (Japan 881208)"
talbot            "Talbot"
tangtang          "Tang Tang (ver. 0526, 26/05/2000)"
tank8             "Tank 8 (set 1)"
tankbatl          "Tank Battle (prototype rev. 4/21/92)"
tankbatt          "Tank Battalion"
tankbattb         "Tank Battalion (bootleg)"
tankbust          "Tank Busters"
tankfrce          "Tank Force (US, 2 Players)"
tankfrce4         "Tank Force (US, 4 Players)"
tankfrcej         "Tank Force (Japan)"
tantr             "Puzzle & Action: Tant-R (Japan)"
tantrbl           "Puzzle & Action: Tant-R (Japan) (bootleg set 1)"
tantrbl2          "Puzzle & Action: Tant-R (Japan) (bootleg set 2)"
tantrbl3          "Puzzle & Action: Tant-R (Japan) (bootleg set 3)"
tantrkor          "Puzzle & Action: Tant-R (Korea)"
taotaido          "Tao Taido (2 button version)"
taotaido3         "Tao Taido (2/3 button version)"
taotaidoa         "Tao Taido (6 button version)"
tapatune          "Tap a Tune"
tapper            "Tapper (Budweiser, 1/27/84)"
tappera           "Tapper (Budweiser, 12/9/83)"
targ              "Targ"
targc             "Targ (cocktail?)"
targeth           "Target Hits (ver 1.1, Checksum 5152)"
targetha          "Target Hits (ver 1.1, Checksum 86E1)"
tattack           "Time Attacker"
tattass           "Tattoo Assassins (US prototype, Mar 14 1995)"
tattassa          "Tattoo Assassins (Asia prototype, Mar 14 1995)"
taxidriv          "Taxi Driver"
tazmani2          "Tazz-Mania (set 2, alt hardware)"
tazmania          "Tazz-Mania (set 1)"
tazzmang          "Tazz-Mania (bootleg on Galaxian hardware)"
tazzmang2         "Tazz-Mania (bootleg on Galaxian hardware with Starfield)"
tbeastw2          "Transformers Beast Wars II"
tblkkuzu          "The Block Kuzushi (Japan)"
tbowl             "Tecmo Bowl (World, set 1)"
tbowlj            "Tecmo Bowl (Japan)"
tbowlp            "Tecmo Bowl (World, prototype?)"
tbyahhoo          "Twin Bee Yahhoo! (ver JAA)"
tc0080vco         "Taito TC0080VCO"
tc0091lvc         "Taito TC0091LVC"
tc0100scn         "Taito TC0100SCN"
tc0110pcr         "Taito TC0110PCR"
tc0140syt         "Taito TC0140SYT"
tc0150rod         "Taito TC0150ROD"
tc0180vcu         "Taito TC0180VCU"
tc0220ioc         "Taito TC0220IOC"
tc0280grd         "Taito TC0280GRD / TC0430GRW"
tc0360pri         "Taito TC0360PRI"
tc0480scp         "Taito TC0480SCP"
tc0510nio         "Taito TC0510NIO"
tc0640fio         "Taito TC0640FIO"
tc0780fpa         "TC0780FPA Polygon Renderer"
tc8830f           "Toshiba TC8830F"
tceptor           "Thunder Ceptor"
tceptor2          "3-D Thunder Ceptor II"
tcobra2           "Twin Cobra II (Ver 2.1O 1995/11/30)"
tcobra2u          "Twin Cobra II (Ver 2.1A 1995/11/30)"
tdfever           "TouchDown Fever (US)"
tdfever2          "TouchDown Fever 2"
tdfeverj          "TouchDown Fever (Japan)"
tdoboon           "Taihou de Doboon"
tdpgal            "Triple Draw Poker"
tdragon           "Thunder Dragon (8th Jan. 1992, unprotected)"
tdragon2          "Thunder Dragon 2 (9th Nov. 1993)"
tdragon2a         "Thunder Dragon 2 (1st Oct. 1993)"
tdragonb          "Thunder Dragon (bootleg)"
teamht            "Team Hat Trick"
teamqb            "John Elway's Team Quarterback (rev 3)"
teamqb2           "John Elway's Team Quarterback (rev 2)"
techbowl          "Technical Bowling (J 971212 V1.000)"
technodr          "Techno Drive (Japan, TD2/VER.B)"
techromn          "Tech Romancer (Euro 980914)"
techromnu         "Tech Romancer (USA 980914)"
tecmo_mix         "Tecmo 16-bit Mixer"
tecmo_spr         "Tecmo Chained Sprites"
tecmowcm          "Tecmo World Cup Millennium (Japan)"
teddybb           "TeddyBoy Blues (315-5115, New Ver.)"
teddybbo          "TeddyBoy Blues (315-5115, Old Ver.)"
teddybbobl        "TeddyBoy Blues (Old Ver. bootleg)"
teedoff           "Tee'd Off (Japan)"
